"datetime","out","in"
"2020-02-01 16:25:00","1.3325708750e+09","5.0293660000e+09"
"2020-02-01 16:30:00","1.2445868750e+09","4.6601585000e+09"
"2020-02-01 16:35:00","1.3300965000e+09","4.3922540000e+09"
"2020-02-01 16:40:00","1.3419530000e+09","4.2823455000e+09"
"2020-02-01 16:45:00","1.4394630000e+09","4.3728230000e+09"
"2020-02-01 16:50:00","1.4200461250e+09","4.3382500000e+09"
"2020-02-01 16:55:00","1.2580180000e+09","4.1389312500e+09"
"2020-02-01 17:00:00","1.2812486250e+09","4.1072635000e+09"
"2020-02-01 17:05:00","1.4162371250e+09","4.4307465000e+09"
"2020-02-01 17:10:00","1.2561206250e+09","4.1769477500e+09"
"2020-02-01 17:15:00","1.2568490000e+09","4.3081570000e+09"
"2020-02-01 17:20:00","1.3991176250e+09","4.2809970000e+09"
"2020-02-01 17:25:00","1.5289242500e+09","4.5007800000e+09"
"2020-02-01 17:30:00","1.4344317500e+09","4.4010540000e+09"
"2020-02-01 17:35:00","1.6808545000e+09","5.3304805000e+09"
"2020-02-01 17:40:00","1.4402528750e+09","4.3863150000e+09"
"2020-02-01 17:45:00","1.6579262500e+09","5.2917590000e+09"
"2020-02-01 17:50:00","1.4010798750e+09","4.6488075000e+09"
"2020-02-01 17:55:00","1.4968183750e+09","4.6277020000e+09"
"2020-02-01 18:00:00","1.3344848750e+09","4.2859410000e+09"
"2020-02-01 18:05:00","1.3096838750e+09","4.2805740000e+09"
"2020-02-01 18:10:00","1.2700097500e+09","4.2745970000e+09"
"2020-02-01 18:15:00","1.2855151250e+09","4.4111875000e+09"
"2020-02-01 18:20:00","1.4160515000e+09","4.4963295000e+09"
"2020-02-01 18:25:00","1.4244805000e+09","4.5963745000e+09"
"2020-02-01 18:30:00","1.3883902500e+09","4.5715790000e+09"
"2020-02-01 18:35:00","1.3778781250e+09","4.3833575000e+09"
"2020-02-01 18:40:00","1.5525396250e+09","4.8400425000e+09"
"2020-02-01 18:45:00","1.4672248750e+09","4.7119165000e+09"
"2020-02-01 18:50:00","1.5533541250e+09","5.1459470000e+09"
"2020-02-01 18:55:00","1.4603023750e+09","4.9732485000e+09"
"2020-02-01 19:00:00","1.5595880000e+09","5.3919735000e+09"
"2020-02-01 19:05:00","1.4107062500e+09","4.6817775000e+09"
"2020-02-01 19:10:00","1.4259668750e+09","4.5810960000e+09"
"2020-02-01 19:15:00","1.4384123750e+09","4.7340375000e+09"
"2020-02-01 19:20:00","1.6790388750e+09","5.2408435000e+09"
"2020-02-01 19:25:00","1.6668286250e+09","5.4822525000e+09"
"2020-02-01 19:30:00","1.6937067500e+09","5.2719765000e+09"
"2020-02-01 19:35:00","1.6667921250e+09","5.2989960000e+09"
"2020-02-01 19:40:00","1.4609830000e+09","4.7194365000e+09"
"2020-02-01 19:45:00","1.4171872500e+09","4.6783290000e+09"
"2020-02-01 19:50:00","1.3808236250e+09","4.6451725000e+09"
"2020-02-01 19:55:00","1.6182103750e+09","5.1710925000e+09"
"2020-02-01 20:00:00","1.6108272500e+09","5.2142340000e+09"
"2020-02-01 20:05:00","1.5660542500e+09","5.1933215000e+09"
"2020-02-01 20:10:00","1.2457842500e+09","4.4580460000e+09"
"2020-02-01 20:15:00","1.1785346250e+09","4.2186640000e+09"
"2020-02-01 20:20:00","1.2475580000e+09","4.2238290000e+09"
"2020-02-01 20:25:00","1.2049287500e+09","4.4266085000e+09"
"2020-02-01 20:30:00","1.4118770000e+09","4.7791510000e+09"
"2020-02-01 20:35:00","1.3363157500e+09","4.8321515000e+09"
"2020-02-01 20:40:00","1.6502881250e+09","5.3604095000e+09"
"2020-02-01 20:45:00","1.7616377500e+09","5.5812305000e+09"
"2020-02-01 20:50:00","1.7788925000e+09","5.6625000000e+09"
"2020-02-01 20:55:00","1.6538181250e+09","5.1102915000e+09"
"2020-02-01 21:00:00","1.7072815000e+09","5.5324910000e+09"
"2020-02-01 21:05:00","1.6441715000e+09","5.6881895000e+09"
"2020-02-01 21:10:00","1.6521036250e+09","5.5816650000e+09"
"2020-02-01 21:15:00","1.6208722500e+09","5.2407410000e+09"
"2020-02-01 21:20:00","1.6216660000e+09","5.6289160000e+09"
"2020-02-01 21:25:00","1.3348330000e+09","4.4503690000e+09"
"2020-02-01 21:30:00","1.2678288750e+09","4.3793905000e+09"
"2020-02-01 21:35:00","1.1603795000e+09","4.1424145000e+09"
"2020-02-01 21:40:00","1.2952467500e+09","4.3153700000e+09"
"2020-02-01 21:45:00","1.4404755000e+09","4.8895600000e+09"
"2020-02-01 21:50:00","1.5849635000e+09","5.0409855000e+09"
"2020-02-01 21:55:00","1.5275038750e+09","4.9924440000e+09"
"2020-02-01 22:00:00","1.4289241250e+09","4.9608865000e+09"
"2020-02-01 22:05:00","1.5556955000e+09","5.0878515000e+09"
"2020-02-01 22:10:00","1.6897036250e+09","5.4701340000e+09"
"2020-02-01 22:15:00","1.3257342500e+09","4.9151180000e+09"
"2020-02-01 22:20:00","1.1356217500e+09","4.4041315000e+09"
"2020-02-01 22:25:00","1.3102047500e+09","5.0091560000e+09"
"2020-02-01 22:30:00","1.1785795000e+09","4.7611880000e+09"
"2020-02-01 22:35:00","1.2020510000e+09","4.4956150000e+09"
